,NG sim,subject,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
491,91,2122,73,121,160,305,305,305
492,92,2122,98,335,708,1232,1232,1232
493,93,2122,195,966,1242,1334,1334,1334
494,94,2122,403,633,2084,2212,2212,2212
495,95,2122,102,214,345,473,473,473
496,96,2122,1462,1913,1987,2265,2265,2265
497,97,2122,307,653,892,1260,1260,1260
498,98,2122,81,180,534,609,609,609
499,99,2122,243,488,562,749,749,749
500,0,2143,358,998,1201,1417,1417,1417
501,1,2143,226,429,482,608,608,608
502,2,2143,601,1168,1524,1576,1576,1576
503,3,2143,235,387,398,543,543,543
504,4,2143,241,417,461,946,946,946
505,5,2143,80,94,160,207,207,207
506,6,2143,171,1387,2206,2366,2366,2366
507,7,2143,861,1004,1041,1047,1047,1047
508,8,2143,131,175,193,229,229,229
509,9,2143,337,361,376,506,506,506
510,10,2143,234,294,324,611,611,611
511,11,2143,131,1283,1316,1429,1429,1429
512,12,2143,1204,1373,1389,1431,1431,1431
513,13,2143,192,426,527,750,750,750
514,14,2143,68,134,337,587,587,587
515,15,2143,100,140,180,199,199,199
516,16,2143,788,1189,1307,1546,1546,1546
517,17,2143,176,230,1081,1148,1148,1148
518,18,2143,1959,2029,2633,2692,2692,2692
519,19,2143,757,883,907,1122,1122,1122
520,20,2143,165,326,537,819,819,819
521,21,2143,145,480,748,1139,1139,1139
522,22,2143,67,91,585,1005,1005,1005
523,23,2143,235,987,1102,1352,1352,1352
524,24,2143,90,285,526,614,614,614
525,25,2143,90,934,951,1062,1062,1062
526,26,2143,315,512,550,702,702,702
527,27,2143,1843,2296,2420,2772,2772,2772
528,28,2143,213,707,731,827,827,827
529,29,2143,48,89,106,124,124,124
530,30,2143,106,301,377,467,467,467
531,31,2143,103,1182,1268,1374,1374,1374
532,32,2143,144,838,949,1506,1506,1506
533,33,2143,300,356,463,551,551,551
534,34,2143,162,790,886,972,972,972
535,35,2143,1198,1351,1365,1706,1706,1706
536,36,2143,148,294,341,604,604,604
537,37,2143,275,303,335,525,525,525
538,38,2143,1431,2654,3578,3686,3686,3686
539,39,2143,106,122,162,325,325,325
540,40,2143,863,1025,1127,1169,1169,1169
541,41,2143,2000,2355,2360,2462,2462,2462
542,42,2143,164,455,504,534,534,534
543,43,2143,148,576,976,1060,1060,1060
544,44,2143,77,113,266,460,460,460
545,45,2143,340,480,486,523,523,523
546,46,2143,377,968,1070,1154,1154,1154
547,47,2143,133,198,397,446,446,446
548,48,2143,104,139,145,411,411,411
549,49,2143,339,698,703,762,762,762
550,50,2143,279,512,639,689,689,689
551,51,2143,98,601,622,762,762,762
552,52,2143,119,411,423,491,491,491
553,53,2143,521,990,1009,1031,1031,1031
554,54,2143,430,591,986,1016,1016,1016
555,55,2143,233,672,687,903,903,903
556,56,2143,515,964,996,1025,1025,1025
557,57,2143,70,124,206,387,387,387
558,58,2143,149,199,741,749,749,749
559,59,2143,1245,1631,1659,1996,1996,1996
560,60,2143,67,200,717,845,845,845
561,61,2143,38,59,136,444,444,444
562,62,2143,854,952,1063,1081,1081,1081
563,63,2143,100,426,499,582,582,582
564,64,2143,59,131,524,717,717,717
565,65,2143,314,398,581,745,745,745
566,66,2143,90,168,189,266,266,266
567,67,2143,387,419,1403,1653,1653,1653
568,68,2143,97,1467,1510,1827,1827,1827
569,69,2143,294,478,506,633,633,633
