subject,SC_0.7,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
513130,155,796,1020,1071,1260,1374,1422
513736,157,410,539,613,782,1161,1769
516742,157,259,431,663,735,877,963
517239,357,1459,1628,1754,1903,2314,2392
518746,194,395,644,770,942,961,1034
519647,131,153,454,762,788,898,1114
519950,301,539,837,1051,1352,1519,1611
520228,202,302,776,932,1003,1247,1270
522434,693,990,1354,1674,1704,1718,1847
523032,175,657,1427,1659,1682,1762,1957
524135,309,598,1284,1354,1466,1592,1706
525541,226,1906,1997,2202,2390,2407,2514
529549,230,676,762,1051,1196,1425,1431
529953,175,743,1075,1184,1430,1451,1514
531536,161,311,500,711,899,956,1066
531940,180,537,759,865,1084,1249,1336
536647,648,1053,1340,1410,1469,1539,1710
540436,216,812,1175,1504,1626,1627,1760
541640,563,1069,1400,1526,1713,1757,1770
545345,260,2245,2390,2511,2647,2661,2693
547046,330,488,582,808,975,1072,1222
548250,139,236,571,790,842,878,930
552241,166,1352,1500,1759,2224,2246,2316
553344,244,1027,1701,1833,1931,1933,2069
555348,108,176,271,343,596,801,1128
555651,164,224,304,350,585,624,812
555954,129,337,846,889,1092,1150,1209
557857,126,388,553,700,743,761,765
558657,115,802,988,1190,1295,1298,1648
558960,1202,1360,1617,1919,1958,1971,1997
559457,261,1252,1584,1742,1869,2027,2030
561444,158,327,683,1001,1271,1619,1846
561949,205,731,1328,1556,1772,1784,1857
562345,173,517,773,907,935,1036,1083
562446,203,426,529,598,658,759,915
565452,184,434,1168,1293,1552,1578,1822
566454,262,441,704,837,1069,1153,1349
567052,208,359,574,638,667,685,688
567759,130,296,780,979,1005,1047,1229
567961,150,747,948,1165,1250,1379,1448
568963,284,575,732,969,1006,1151,1493
571144,576,1032,1127,1449,1629,1636,1818
572045,342,1324,1552,1584,1697,1739,2015
573249,112,583,714,733,818,841,923
573451,109,146,414,670,728,735,741
576255,163,243,602,667,800,814,857
578057,161,260,862,996,1115,1162,1189
579867,112,220,658,764,836,840,1073
580044,177,269,1022,1180,1711,1718,1982
580347,171,358,572,665,996,1103,1116
580650,146,1813,2259,2498,2610,2629,2902
580751,124,196,448,498,541,564,598
581450,137,187,494,722,827,1047,1129
583858,192,340,547,700,1106,1163,1345
585256,152,215,442,504,700,721,1034
587664,183,570,812,883,961,1158,1317
588565,258,369,503,614,756,783,839
589567,289,368,774,957,1105,1124,1257
590047,144,333,1773,1892,2077,2080,2271
592455,581,698,911,1080,1285,1425,1474
594156,158,220,373,632,859,960,1006
597869,301,661,1181,1257,1391,1414,1530
599065,260,682,1146,1402,1543,1585,1661
599469,112,149,346,482,586,595,1205
599671,606,1441,1592,1705,1978,2091,2189
601127,224,342,562,660,925,933,941
604537,102,245,493,647,805,862,997
609143,124,166,293,343,689,756,774
611938,276,586,692,1134,1276,1396,1423
613538,515,773,1153,1490,1908,2002,2141
614439,234,774,968,1169,1234,1504,1601
615441,104,299,680,714,952,956,970
615744,308,736,1308,1418,1585,1602,1716
616645,466,1206,1289,1480,1863,1866,2044
617748,347,515,719,1074,1246,1388,1423
618952,183,1329,1886,2047,2101,2130,2647
620434,163,343,683,719,1051,1126,1216
622236,191,341,504,702,939,1188,1334
623844,154,535,1673,1699,1931,1957,2115
626648,497,1052,1265,1356,1660,1708,1780
627852,197,305,906,1040,1329,1400,1641
628248,369,583,764,868,1168,1277,1429
633847,168,303,469,547,682,685,691
634748,465,822,999,1095,1229,1324,1409
635245,149,245,523,585,670,709,1359
645450,211,1240,2228,2360,2618,2637,3188
647858,570,2442,2649,2710,2807,2831,3051
654350,134,310,766,897,928,1009,1177
654552,100,393,657,831,931,1084,1163
656253,374,548,675,999,1032,1233,1330
656657,341,753,1731,1771,1889,2065,2261
657659,513,868,1062,1100,1138,1164,1411
660951,111,174,544,736,843,1025,1123
662551,357,1162,1329,1449,1675,1686,1794
663755,93,150,523,624,750,812,914
664757,228,899,1127,1180,1222,1225,1428
667056,100,409,741,979,1188,1207,1291
668361,122,166,873,1001,1373,1393,1536
671855,161,1013,1321,1610,1800,1811,1999
673455,198,1921,2046,2078,2220,2221,2662
675661,149,184,408,496,675,830,887
677766,209,1244,1407,1460,1583,1588,1681
679568,205,757,1011,1166,1232,1567,1578
679770,144,258,409,517,642,1129,1221
680250,187,1219,1524,1571,1604,1624,1904
680452,338,428,686,841,894,944,957
683256,210,468,890,921,1043,1164,1288
686969,134,234,320,523,648,658,691
687163,284,650,1339,1396,1515,1608,2003
690152,157,262,698,855,968,1011,1017
692964,164,867,1084,1288,1324,1347,1481
693764,275,730,1258,1635,1823,1878,2505
694362,222,442,994,1102,1368,1696,1978
695768,169,752,1016,1192,1283,1318,1333
698168,280,657,1044,1249,1386,1732,2133
700634,320,511,729,1057,1215,1242,1317
706040,350,668,1347,1430,1452,1544,1587
707749,329,1254,1418,1643,1710,1804,1924
709551,340,530,611,737,845,928,949
715041,197,366,652,738,805,933,1185
