Source,Target,Type,Weight
48,19,Undirected,1.9407
48,23,Undirected,1.623
48,26,Undirected,0.16102
48,31,Undirected,2.5792
48,36,Undirected,0.643
48,37,Undirected,0.48451
48,39,Undirected,9.2852
48,40,Undirected,1.5868
48,42,Undirected,0.21547
48,43,Undirected,3.6382
48,45,Undirected,0.77197
48,46,Undirected,4.4317
48,47,Undirected,6.8093
49,0,Undirected,1.086
49,1,Undirected,0.50981
49,8,Undirected,1.5324
49,11,Undirected,0.89243
49,12,Undirected,2.8517
49,13,Undirected,1.1301
49,15,Undirected,2.3776
49,17,Undirected,0.48385
49,21,Undirected,0.61953
49,23,Undirected,1.5804
49,24,Undirected,0.97773
49,25,Undirected,0.92338
49,26,Undirected,0.59691
49,28,Undirected,0.61762
49,30,Undirected,0.37833
49,31,Undirected,0.043843
49,32,Undirected,0.14325
49,36,Undirected,3.0712
49,37,Undirected,1.8285
49,39,Undirected,1.9082
49,44,Undirected,0.63536
49,45,Undirected,0.65863
49,47,Undirected,5.6376
49,48,Undirected,1.5757
50,2,Undirected,1.7927
50,3,Undirected,0.85922
50,7,Undirected,0.8673
50,8,Undirected,2.7941
50,9,Undirected,0.94741
50,12,Undirected,0.86166
50,16,Undirected,5.3551
50,17,Undirected,0.037587
50,18,Undirected,0.34567
50,19,Undirected,0.54802
50,20,Undirected,1.6907
50,21,Undirected,3.3716
50,22,Undirected,1.7698
50,24,Undirected,0.13219
50,27,Undirected,0.0032673
50,28,Undirected,0.95474
50,29,Undirected,1.9299
50,33,Undirected,0.54372
50,38,Undirected,0.93664
50,40,Undirected,1.3311
50,41,Undirected,1.0022
50,42,Undirected,1.872
50,43,Undirected,4.9054
50,45,Undirected,2.9595
50,46,Undirected,5.3221
50,47,Undirected,2.0663
50,49,Undirected,0.40902
51,1,Undirected,0.42981
51,15,Undirected,0.9203
51,16,Undirected,0.21339
51,17,Undirected,0.44734
51,22,Undirected,1.6461
51,23,Undirected,1.0952
51,26,Undirected,0.2904
51,27,Undirected,1.4292
51,28,Undirected,1.1354
51,29,Undirected,0.78452
51,31,Undirected,0.50945
51,33,Undirected,0.57211
51,34,Undirected,1.1801
51,35,Undirected,3.1562
51,40,Undirected,0.89592
51,42,Undirected,0.52857
51,45,Undirected,1.8422
51,47,Undirected,1.2882
51,48,Undirected,0.16232
51,49,Undirected,0.824
52,3,Undirected,2.2912
52,4,Undirected,3.1113
52,12,Undirected,3.0771
52,18,Undirected,0.050763
52,19,Undirected,6.7991
52,22,Undirected,0.84249
52,23,Undirected,0.1861
52,24,Undirected,1.8392
52,26,Undirected,4.7662
52,27,Undirected,2.5079
52,28,Undirected,0.50076
52,30,Undirected,4.7774
52,32,Undirected,0.94068
52,37,Undirected,1.6237
52,38,Undirected,0.55026
52,40,Undirected,0.13309
52,41,Undirected,0.41699
52,42,Undirected,1.2997
52,43,Undirected,1.5242
52,44,Undirected,2.2117
52,45,Undirected,0.51084
52,46,Undirected,7.7588
52,47,Undirected,7.4301
52,48,Undirected,6.1209
53,0,Undirected,0.95368
53,1,Undirected,0.52192
53,2,Undirected,1.6445
53,5,Undirected,0.82484
53,6,Undirected,1.0283
53,8,Undirected,1.8647
53,9,Undirected,0.068261
53,10,Undirected,0.81028
53,11,Undirected,3.5108
53,13,Undirected,1.9849
53,14,Undirected,0.057813
53,17,Undirected,0.40913
53,18,Undirected,1.3839
53,27,Undirected,7.3978
53,28,Undirected,0.10474
53,29,Undirected,1.5229
53,31,Undirected,1.2082
53,34,Undirected,0.0053831
53,38,Undirected,0.72365
53,39,Undirected,0.82451
53,40,Undirected,1.7612
53,41,Undirected,0.97957
53,45,Undirected,2.1388
53,47,Undirected,0.81453
53,48,Undirected,1.3869
53,50,Undirected,0.85237
53,52,Undirected,1.6944
54,1,Undirected,1.6026
54,2,Undirected,2.4276
54,7,Undirected,0.1475
54,8,Undirected,3.5539
54,9,Undirected,0.47147
54,11,Undirected,1.4764
54,15,Undirected,2.3684
54,18,Undirected,0.88344
54,20,Undirected,2.1347
54,21,Undirected,3.3409
54,26,Undirected,3.6439
54,27,Undirected,2.1692
54,28,Undirected,2.2275
54,31,Undirected,3.2295
54,33,Undirected,2.0748
54,34,Undirected,0.23371
54,35,Undirected,1.8744
54,38,Undirected,0.46951
54,40,Undirected,1.7013
54,42,Undirected,1.6659
54,43,Undirected,3.4981
54,45,Undirected,4.7004
54,46,Undirected,7.8953
54,47,Undirected,0.60315
54,48,Undirected,2.4354
54,50,Undirected,3.1378
54,51,Undirected,0.42809
54,52,Undirected,6.5555
54,53,Undirected,2.4412
55,0,Undirected,2.2317
55,1,Undirected,2.6734
55,2,Undirected,2.9217
55,7,Undirected,6.7169
55,8,Undirected,1.6968
55,11,Undirected,0.89389
55,13,Undirected,0.62697
55,14,Undirected,1.4689
55,18,Undirected,3.4876
55,19,Undirected,1.5909
55,25,Undirected,2.5658
55,26,Undirected,0.17259
55,29,Undirected,0.48165
55,35,Undirected,0.51132
55,39,Undirected,1.1015
55,41,Undirected,0.19918
55,43,Undirected,7.527
55,45,Undirected,2.0056
55,46,Undirected,3.1803
55,49,Undirected,1.3043
55,50,Undirected,3.4588
55,52,Undirected,11.883
55,54,Undirected,1.3439
56,0,Undirected,1.1373
56,2,Undirected,4.6074
56,3,Undirected,4.4112
56,5,Undirected,5.3184
56,6,Undirected,3.5908
56,8,Undirected,6.247
56,9,Undirected,2.3481
56,10,Undirected,1.3113
56,12,Undirected,4.6566
56,15,Undirected,0.49048
56,16,Undirected,4.791
56,17,Undirected,2.5792
56,21,Undirected,1.5411
56,22,Undirected,0.56361
56,24,Undirected,1.3666
56,27,Undirected,5.2229
56,28,Undirected,0.961
56,29,Undirected,5.7604
56,30,Undirected,1.7478
56,32,Undirected,2.8547
56,34,Undirected,0.67312
56,39,Undirected,0.16747
56,40,Undirected,0.1914
56,42,Undirected,0.93749
56,44,Undirected,1.588
56,46,Undirected,2.5969
56,48,Undirected,1.9926
56,49,Undirected,0.46177
56,50,Undirected,0.46441
56,51,Undirected,1.5372
56,52,Undirected,0.60928
56,54,Undirected,4.8744
57,0,Undirected,1.5464
57,3,Undirected,3.4477
57,7,Undirected,2.8646
57,9,Undirected,0.80201
57,13,Undirected,1.2997
57,17,Undirected,0.1188
57,20,Undirected,0.62653
57,22,Undirected,0.17871
57,27,Undirected,5.4879
57,30,Undirected,0.91774
57,31,Undirected,3.1152
57,32,Undirected,0.70593
57,38,Undirected,3.8832
57,39,Undirected,0.21572
57,40,Undirected,1.1762
57,41,Undirected,1.7588
57,43,Undirected,0.9259
57,44,Undirected,1.1398
57,45,Undirected,0.37741
57,49,Undirected,0.76349
57,50,Undirected,2.1867
57,52,Undirected,5.4051
58,0,Undirected,0.19432
58,2,Undirected,5.0737
58,6,Undirected,10.624
58,10,Undirected,1.3082
58,11,Undirected,0.40523
58,14,Undirected,2.6801
58,15,Undirected,3.485
58,18,Undirected,3.5189
58,20,Undirected,0.33503
58,22,Undirected,1.5466
58,29,Undirected,1.4427
58,31,Undirected,5.8148
58,35,Undirected,0.094789
58,36,Undirected,1.4328
58,37,Undirected,2.6066
58,39,Undirected,0.52403
58,41,Undirected,0.063489
58,42,Undirected,0.069813
58,44,Undirected,0.4273
58,45,Undirected,6.1981
58,46,Undirected,4.9338
58,47,Undirected,1.265
58,48,Undirected,3.9414
58,51,Undirected,1.612
58,52,Undirected,0.85168
58,55,Undirected,3.6568
58,56,Undirected,0.88796
58,57,Undirected,2.9743
59,0,Undirected,0.0065484
59,2,Undirected,0.34121
59,3,Undirected,0.078602
59,4,Undirected,0.18107
59,11,Undirected,0.16241
59,13,Undirected,2.091
59,15,Undirected,0.89364
59,22,Undirected,0.89716
59,23,Undirected,2.5022
59,25,Undirected,1.1265
59,26,Undirected,1.9153
59,29,Undirected,0.45828
59,30,Undirected,1.5822
59,31,Undirected,0.90053
59,36,Undirected,0.33728
59,40,Undirected,0.21337
59,45,Undirected,1.1772
59,50,Undirected,0.075737
59,51,Undirected,2.7226
59,54,Undirected,1.8324
59,55,Undirected,0.013187
59,56,Undirected,0.028545
59,58,Undirected,0.14042
60,0,Undirected,2.1201
60,1,Undirected,1.47
60,9,Undirected,0.21273
60,10,Undirected,0.68692
60,12,Undirected,3.1377
60,16,Undirected,1.7128
60,19,Undirected,0.42437
60,20,Undirected,0.18588
60,27,Undirected,2.1931
60,28,Undirected,2.1226
60,30,Undirected,1.2513
60,32,Undirected,0.64206
60,37,Undirected,0.64387
60,38,Undirected,1.5111
60,39,Undirected,3.8508
60,40,Undirected,0.19222
60,43,Undirected,0.72589
60,45,Undirected,0.29317
60,46,Undirected,1.2294
60,47,Undirected,3.098
60,48,Undirected,1.5462
60,49,Undirected,4.3321
60,50,Undirected,1.021
60,51,Undirected,2.0719
60,53,Undirected,1.7244
60,55,Undirected,1.1822
60,58,Undirected,0.71302
60,59,Undirected,3.451
61,1,Undirected,0.38956
61,7,Undirected,1.0575
61,8,Undirected,1.5102
61,11,Undirected,3.7377
61,14,Undirected,2.0956
61,15,Undirected,0.025671
61,16,Undirected,2.1285
61,17,Undirected,0.68123
61,19,Undirected,0.47887
61,20,Undirected,0.36822
61,21,Undirected,0.78147
61,24,Undirected,0.092212
61,27,Undirected,0.86933
61,28,Undirected,0.21591
61,29,Undirected,0.001886
61,30,Undirected,1.3585
61,32,Undirected,0.48416
61,33,Undirected,0.0053257
61,34,Undirected,0.6711
61,35,Undirected,0.19195
61,38,Undirected,3.5775
61,44,Undirected,0.617
61,45,Undirected,0.37202
61,46,Undirected,0.92538
61,47,Undirected,1.3759
61,48,Undirected,3.8571
61,49,Undirected,1.5124
61,50,Undirected,0.36844
61,53,Undirected,3.8257
61,54,Undirected,2.422
61,55,Undirected,2.4069
61,56,Undirected,1.6305
62,1,Undirected,0.42262
62,2,Undirected,0.43136
62,3,Undirected,2.0913
62,5,Undirected,0.80067
62,6,Undirected,0.39564
62,8,Undirected,3.6262
62,9,Undirected,1.827
62,12,Undirected,2.4796
62,13,Undirected,3.0007
62,19,Undirected,0.25737
62,20,Undirected,1.4802
62,21,Undirected,2.4105
62,22,Undirected,1.4524
62,25,Undirected,0.36032
62,26,Undirected,0.20581
62,27,Undirected,6.8585
62,30,Undirected,1.4964
62,32,Undirected,1.3992
62,36,Undirected,0.14607
62,41,Undirected,0.0368
62,44,Undirected,2.5035
62,45,Undirected,0.84237
62,47,Undirected,0.55897
62,48,Undirected,1.3624
62,49,Undirected,0.87514
62,50,Undirected,1.3435
62,53,Undirected,2.3082
62,54,Undirected,1.7712
62,55,Undirected,1.9191
62,56,Undirected,2.0308
62,58,Undirected,10.395
63,0,Undirected,1.5299
63,2,Undirected,0.6466
63,3,Undirected,0.25698
63,4,Undirected,0.13978
63,5,Undirected,1.126
63,6,Undirected,0.90381
63,18,Undirected,4.1645
63,19,Undirected,2.1687
63,20,Undirected,1.5936
63,21,Undirected,3.7985
63,24,Undirected,1.559
63,26,Undirected,0.88643
63,29,Undirected,0.92697
63,33,Undirected,0.016238
63,34,Undirected,0.53269
63,35,Undirected,0.83531
63,41,Undirected,0.87842
63,42,Undirected,0.70449
63,43,Undirected,0.13382
63,46,Undirected,0.29891
63,47,Undirected,1.6083
63,48,Undirected,0.66041
63,52,Undirected,0.18189
63,53,Undirected,0.80404
63,57,Undirected,0.12727
63,60,Undirected,2.1861
63,61,Undirected,1.2885
64,3,Undirected,2.1008
64,5,Undirected,3.5879
64,8,Undirected,0.78737
