,NG sim,subject,SC_0.7,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
477,0,477,268,584,696,744,930,1004,1412
478,0,486,99,202,398,434,505,530,558
479,0,483,169,219,703,780,951,986,1047
480,0,481,133,422,553,692,1000,1064,1238
481,0,478,324,671,1258,1727,1837,1937,1944
482,0,476,768,1392,1435,2001,2057,2110,2229
483,0,482,418,601,805,978,1134,1256,1320
484,0,480,452,1083,1580,1746,1885,1943,1965
485,0,487,222,513,661,804,895,953,1061
486,0,485,415,709,914,1117,1220,1222,1421
487,0,484,206,526,571,882,1092,1635,1698
488,0,495,199,360,556,646,812,822,864
489,0,489,217,322,793,974,1099,1248,1520
490,0,492,193,366,663,744,1032,1208,1220
491,0,490,264,944,1069,1149,1364,1630,1685
492,0,491,117,417,976,1117,1183,1300,1449
493,0,498,110,182,464,608,659,987,1026
494,0,497,199,467,1027,1114,1138,1146,1363
495,0,493,367,1027,1346,1435,1574,1594,1695
496,0,494,558,996,1171,1298,1465,1476,1555
497,0,500,200,361,587,745,907,909,942
498,0,503,140,251,301,541,579,594,696
499,0,502,121,355,706,843,908,966,1001
500,0,505,102,200,400,597,688,695,869
501,0,499,318,1121,1351,1617,1671,1840,1851
502,0,496,150,271,1767,2184,2362,2367,2566
503,0,488,1029,1626,2050,2502,2953,3023,3141
504,0,504,268,423,1159,1352,1386,1395,1409
505,0,510,247,503,684,772,868,873,922
506,0,507,274,863,1080,1213,1333,1372,1494
507,0,509,190,442,743,855,903,948,1279
508,0,501,226,931,1013,1226,1572,1637,2014
509,0,506,185,946,1569,1604,1891,1894,1912
510,0,508,122,940,1143,1548,1598,1655,1755
511,0,514,147,330,439,514,593,727,954
512,0,518,94,136,213,435,659,693,714
513,0,515,181,268,687,745,783,826,982
514,0,512,242,635,951,1283,1407,1409,1422
515,0,519,99,271,614,783,854,907,943
516,0,511,281,658,1224,1466,1592,1659,1680
517,0,513,589,1021,1484,1587,1623,1758,1896
518,0,521,340,477,744,957,1094,1104,1156
519,0,520,281,505,635,798,1146,1164,1192
520,0,522,150,192,348,569,787,793,882
521,0,516,194,473,826,1414,1487,1524,1706
522,0,527,216,300,423,482,578,640,996
523,0,523,213,324,781,1029,1221,1229,1382
524,0,528,105,143,528,565,872,984,987
525,0,517,843,1444,1812,1934,2031,2033,2284
526,0,525,238,366,998,1079,1117,1240,1411
527,0,526,196,340,1069,1149,1177,1208,1374
528,0,531,136,175,408,604,688,711,741
529,0,532,119,339,478,739,885,892,915
530,0,533,115,146,670,840,912,921,925
531,0,530,213,411,791,1151,1227,1265,1358
532,0,535,151,257,523,578,710,833,1023
533,0,524,255,1058,1864,2061,2134,2161,2433
534,0,540,303,531,646,673,720,780,1001
535,0,538,251,368,606,761,801,894,1155
536,0,536,255,458,631,771,980,1141,1194
537,0,529,303,1201,1348,1389,1600,1753,2193
538,0,534,319,989,1262,1304,1599,1681,1721
539,0,539,187,543,897,979,1182,1186,1654
540,0,543,157,623,780,1080,1158,1165,1182
541,0,541,582,909,1245,1294,1556,1607,1616
542,0,542,194,1120,1456,1518,1660,1666,1711
543,0,545,149,409,804,913,997,1115,1210
544,0,544,294,602,942,1045,1273,1283,1404
545,0,549,174,625,735,766,922,935,969
546,0,546,222,287,755,953,1047,1087,1100
547,0,550,100,188,351,430,599,770,837
548,0,552,441,686,837,1053,1126,1144,1168
549,0,547,216,857,1041,1105,1488,1582,1695
550,0,548,182,487,1386,1604,1662,1665,1713
551,0,537,1179,1454,2216,2381,2693,2889,3020
552,0,556,189,330,455,608,668,715,823
553,0,557,168,517,1028,1172,1194,1198,1210
554,0,553,141,325,796,972,1313,1370,1541
555,0,551,103,197,1306,1545,1612,1721,1863
556,0,554,148,1056,1202,1369,1543,1640,1826
557,0,558,155,796,1020,1071,1260,1374,1422
558,0,560,157,259,431,663,735,877,963
559,0,559,157,410,539,613,782,1161,1769
560,0,563,131,153,454,762,788,898,1114
561,0,562,194,395,644,770,942,961,1034
562,0,555,287,1856,2134,2159,2195,2234,2250
563,0,565,202,302,776,932,1003,1247,1270
564,0,564,301,539,837,1051,1352,1519,1611
565,0,570,230,676,762,1051,1196,1425,1431
566,0,572,161,311,500,711,899,956,1066
567,0,561,357,1459,1628,1754,1903,2314,2392
568,0,568,309,598,1284,1354,1466,1592,1706
569,0,566,693,990,1354,1674,1704,1718,1847
570,0,571,175,743,1075,1184,1430,1451,1514
571,0,573,180,537,759,865,1084,1249,1336
572,0,567,175,657,1427,1659,1682,1762,1957
573,0,574,648,1053,1340,1410,1469,1539,1710
574,0,579,139,236,571,790,842,878,930
575,0,575,216,812,1175,1504,1626,1627,1760
576,0,583,164,224,304,350,585,624,812
577,0,578,330,488,582,808,975,1072,1222
578,0,569,226,1906,1997,2202,2390,2407,2514
579,0,576,563,1069,1400,1526,1713,1757,1770
580,0,582,108,176,271,343,596,801,1128
581,0,585,126,388,553,700,743,761,765
582,0,584,129,337,846,889,1092,1150,1209
583,0,591,173,517,773,907,935,1036,1083
584,0,592,203,426,529,598,658,759,915
585,0,577,260,2245,2390,2511,2647,2661,2693
586,0,581,244,1027,1701,1833,1931,1933,2069
587,0,580,166,1352,1500,1759,2224,2246,2316
588,0,586,115,802,988,1190,1295,1298,1648
589,0,589,158,327,683,1001,1271,1619,1846
590,0,594,262,441,704,837,1069,1153,1349
591,0,595,208,359,574,638,667,685,688
